environment,task_id,eligibility,planning_evaluator_error
database,39,UNRESOLVED,
database,40,UNRESOLVED,
database,41,UNRESOLVED,
database,42,UNRESOLVED,
database,43,UNRESOLVED,
database,44,UNRESOLVED,
database,45,UNRESOLVED,
database,46,UNRESOLVED,
database,47,UNRESOLVED,
database,48,UNRESOLVED,
database,49,UNRESOLVED,
database,50,UNRESOLVED,
database,51,UNRESOLVED,
database,52,UNRESOLVED,
database,53,UNRESOLVED,
database,54,UNRESOLVED,
database,55,UNRESOLVED,
database,56,UNRESOLVED,
database,57,UNRESOLVED,
database,58,UNRESOLVED,
database,59,UNRESOLVED,
database,60,UNRESOLVED,
database,61,UNRESOLVED,
database,62,UNRESOLVED,
database,63,UNRESOLVED,
database,64,UNRESOLVED,
database,65,UNRESOLVED,
database,66,UNRESOLVED,
database,67,UNRESOLVED,
database,68,UNRESOLVED,
database,69,UNRESOLVED,
database,70,UNRESOLVED,
database,71,UNRESOLVED,
database,72,UNRESOLVED,
database,73,UNRESOLVED,
database,74,UNRESOLVED,
database,75,UNRESOLVED,
database,76,UNRESOLVED,
database,77,UNRESOLVED,
database,78,UNRESOLVED,
database,79,UNRESOLVED,
database,80,UNRESOLVED,
database,81,UNRESOLVED,
database,82,UNRESOLVED,
database,83,UNRESOLVED,
database,84,UNRESOLVED,
database,85,UNRESOLVED,
database,86,UNRESOLVED,
database,87,UNRESOLVED,
database,88,UNRESOLVED,
database,89,UNRESOLVED,
database,90,UNRESOLVED,
database,91,UNRESOLVED,
database,92,UNRESOLVED,
database,93,UNRESOLVED,
database,94,UNRESOLVED,
database,95,UNRESOLVED,
database,96,UNRESOLVED,
database,97,UNRESOLVED,
database,98,UNRESOLVED,
database,99,UNRESOLVED,
database,100,UNRESOLVED,
coding,1,UNRESOLVED,
coding,2,UNRESOLVED,
coding,3,UNRESOLVED,
coding,4,UNRESOLVED,
coding,5,UNRESOLVED,
coding,6,UNRESOLVED,
coding,7,UNRESOLVED,
coding,8,UNRESOLVED,
coding,9,UNRESOLVED,
coding,10,UNRESOLVED,
coding,11,UNRESOLVED,
coding,12,UNRESOLVED,
coding,13,UNRESOLVED,
coding,14,UNRESOLVED,
coding,15,UNRESOLVED,
coding,16,UNRESOLVED,
coding,17,UNRESOLVED,
coding,18,UNRESOLVED,
coding,19,UNRESOLVED,
coding,20,UNRESOLVED,
coding,21,UNRESOLVED,
coding,22,UNRESOLVED,
coding,23,UNRESOLVED,
coding,24,UNRESOLVED,
coding,25,UNRESOLVED,
coding,26,UNRESOLVED,
coding,27,UNRESOLVED,
coding,28,UNRESOLVED,
coding,29,UNRESOLVED,
coding,30,UNRESOLVED,
coding,31,UNRESOLVED,
coding,32,UNRESOLVED,
coding,33,UNRESOLVED,
coding,34,UNRESOLVED,
coding,35,UNRESOLVED,
coding,36,UNRESOLVED,
coding,37,UNRESOLVED,
coding,38,UNRESOLVED,
coding,39,UNRESOLVED,
coding,40,UNRESOLVED,
coding,41,UNRESOLVED,
coding,42,UNRESOLVED,
coding,43,UNRESOLVED,
coding,44,UNRESOLVED,
coding,45,UNRESOLVED,
coding,46,UNRESOLVED,
coding,47,UNRESOLVED,
coding,48,UNRESOLVED,
coding,49,UNRESOLVED,
coding,50,UNRESOLVED,
coding,51,UNRESOLVED,
coding,52,UNRESOLVED,
coding,53,UNRESOLVED,
coding,54,UNRESOLVED,
coding,55,UNRESOLVED,
coding,56,UNRESOLVED,
coding,57,UNRESOLVED,
coding,58,UNRESOLVED,
coding,59,UNRESOLVED,
coding,60,UNRESOLVED,
coding,61,UNRESOLVED,
coding,62,UNRESOLVED,
coding,63,UNRESOLVED,
coding,64,UNRESOLVED,
coding,65,UNRESOLVED,
coding,66,UNRESOLVED,
coding,67,UNRESOLVED,
coding,68,UNRESOLVED,
coding,69,UNRESOLVED,
coding,70,UNRESOLVED,
coding,71,UNRESOLVED,
coding,72,UNRESOLVED,
coding,73,UNRESOLVED,
coding,74,UNRESOLVED,
coding,75,UNRESOLVED,
coding,76,UNRESOLVED,
coding,77,UNRESOLVED,
coding,78,UNRESOLVED,
coding,79,UNRESOLVED,
coding,80,UNRESOLVED,
coding,81,UNRESOLVED,
coding,82,UNRESOLVED,
coding,83,UNRESOLVED,
coding,84,UNRESOLVED,
coding,85,UNRESOLVED,
coding,86,UNRESOLVED,
coding,87,UNRESOLVED,
coding,88,UNRESOLVED,
coding,89,UNRESOLVED,
coding,90,UNRESOLVED,
coding,91,UNRESOLVED,
coding,92,UNRESOLVED,
coding,93,UNRESOLVED,
coding,94,UNRESOLVED,
coding,95,UNRESOLVED,
coding,96,UNRESOLVED,
coding,97,UNRESOLVED,
coding,98,UNRESOLVED,
coding,99,UNRESOLVED,
coding,100,UNRESOLVED,
